94.72%,678MiB / 5GiB,2024-03-08 06:26:44
95.31%,678MiB / 5GiB,2024-03-08 06:26:51
96.84%,678MiB / 5GiB,2024-03-08 06:26:58
95.58%,678MiB / 5GiB,2024-03-08 06:27:05
95.52%,677.9MiB / 5GiB,2024-03-08 06:27:12
95.33%,677.8MiB / 5GiB,2024-03-08 06:27:20
95.96%,677.9MiB / 5GiB,2024-03-08 06:27:27
97.56%,678.1MiB / 5GiB,2024-03-08 06:27:34
94.27%,678MiB / 5GiB,2024-03-08 06:27:41
0.03%,254.3MiB / 5GiB,2024-03-08 06:27:48
0.08%,254.3MiB / 5GiB,2024-03-08 06:27:55
0.02%,215.3MiB / 5GiB,2024-03-08 06:28:02
0.02%,215.3MiB / 5GiB,2024-03-08 06:28:09
0.07%,215.5MiB / 5GiB,2024-03-08 06:28:16
0.04%,215.3MiB / 5GiB,2024-03-08 06:28:23
0.02%,215.3MiB / 5GiB,2024-03-08 06:28:30
0.03%,215.3MiB / 5GiB,2024-03-08 06:28:38
0.03%,215.3MiB / 5GiB,2024-03-08 06:28:45
